,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.8292682926829268,0.8717948717948718,0.85,39.0
BMW 1 Series Convertible 2012,0.875,1.0,0.9333333333333333,35.0
BMW 3 Series Sedan 2012,0.9166666666666666,0.7857142857142857,0.8461538461538461,42.0
BMW M6 Convertible 2010,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
Chevrolet Traverse SUV 2012,0.8958333333333334,0.9772727272727273,0.9347826086956522,44.0
Chevrolet Sonic Sedan 2012,0.8913043478260869,0.9318181818181818,0.9111111111111111,44.0
Chevrolet Express Van 2007,1.0,0.9428571428571428,0.9705882352941176,35.0
Mercedes-Benz E-Class Sedan 2012,0.86,1.0,0.9247311827956989,43.0
Toyota 4Runner SUV 2012,1.0,0.925,0.961038961038961,40.0
Volkswagen Golf Hatchback 2012,0.9117647058823529,0.7209302325581395,0.8051948051948052,43.0
accuracy,0.9039408866995073,0.9039408866995073,0.9039408866995073,0.9039408866995073
macro avg,0.9082276370781612,0.9057826466405594,0.9039373108007769,406.0
weighted avg,0.9071093688142606,0.9039408866995073,0.9023975764459852,406.0
