,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.14705882352941177,0.1282051282051282,0.136986301369863,39.0
Aston Martin V8 Vantage Convertible 2012,0.0,0.0,0.0,45.0
Aston Martin V8 Vantage Coupe 2012,0.16666666666666666,0.0975609756097561,0.12307692307692308,41.0
Audi S4 Sedan 2012,0.0,0.0,0.0,39.0
Audi S4 Sedan 2007,0.13924050632911392,0.24444444444444444,0.1774193548387097,45.0
BMW 1 Series Convertible 2012,0.18,0.2571428571428571,0.21176470588235294,35.0
BMW 3 Series Sedan 2012,0.19230769230769232,0.23809523809523808,0.2127659574468085,42.0
BMW M6 Convertible 2010,0.4,0.04878048780487805,0.08695652173913043,41.0
Chevrolet Corvette ZR1 2012,0.328125,0.45652173913043476,0.38181818181818183,46.0
Chevrolet Traverse SUV 2012,0.0625,0.022727272727272728,0.03333333333333333,44.0
Chevrolet HHR SS 2010,0.3469387755102041,0.4722222222222222,0.4,36.0
Chevrolet Sonic Sedan 2012,0.0,0.0,0.0,44.0
Chevrolet Express Van 2007,0.5,0.7428571428571429,0.5977011494252874,35.0
Ford Expedition EL SUV 2009,0.14814814814814814,0.2727272727272727,0.192,44.0
Hyundai Azera Sedan 2012,0.2631578947368421,0.23809523809523808,0.25,42.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.7777777777777778,0.8,0.7887323943661971,35.0
Mercedes-Benz E-Class Sedan 2012,0.15384615384615385,0.046511627906976744,0.07142857142857142,43.0
Ram C/V Cargo Van Minivan 2012,0.16149068322981366,0.6341463414634146,0.25742574257425743,41.0
Toyota 4Runner SUV 2012,0.14,0.175,0.15555555555555556,40.0
Volkswagen Golf Hatchback 2012,0.21428571428571427,0.06976744186046512,0.10526315789473684,43.0
accuracy,0.23658536585365852,0.23658536585365852,0.23658536585365852,0.23658536585365852
macro avg,0.21607719181837695,0.24724027151463707,0.20911139253749544,820.0
weighted avg,0.20766960962544115,0.23658536585365852,0.19946773410847213,820.0
