,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.9142857142857143,0.8205128205128205,0.8648648648648649,39.0
BMW 1 Series Convertible 2012,0.8611111111111112,0.8857142857142857,0.8732394366197183,35.0
BMW 3 Series Sedan 2012,0.7346938775510204,0.8571428571428571,0.7912087912087912,42.0
BMW M6 Convertible 2010,0.8604651162790697,0.9024390243902439,0.8809523809523809,41.0
Chevrolet Traverse SUV 2012,0.9512195121951219,0.8863636363636364,0.9176470588235294,44.0
Chevrolet Sonic Sedan 2012,0.75,0.9545454545454546,0.84,44.0
Chevrolet Express Van 2007,1.0,0.9714285714285714,0.9855072463768116,35.0
Mercedes-Benz E-Class Sedan 2012,0.9487179487179487,0.8604651162790697,0.9024390243902439,43.0
Toyota 4Runner SUV 2012,0.9736842105263158,0.925,0.9487179487179487,40.0
Volkswagen Golf Hatchback 2012,0.9428571428571428,0.7674418604651163,0.8461538461538461,43.0
accuracy,0.8817733990147784,0.8817733990147784,0.8817733990147784,0.8817733990147784
macro avg,0.8937034633523444,0.8831053626842055,0.8850730598108136,406.0
weighted avg,0.891800493265969,0.8817733990147784,0.883276754814715,406.0
