,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.6808510638297872,0.8205128205128205,0.7441860465116279,39.0
BMW 1 Series Convertible 2012,0.8333333333333334,0.7142857142857143,0.7692307692307693,35.0
BMW 3 Series Sedan 2012,0.75,0.7142857142857143,0.7317073170731707,42.0
BMW M6 Convertible 2010,0.7872340425531915,0.9024390243902439,0.8409090909090909,41.0
Chevrolet Traverse SUV 2012,0.8571428571428571,0.8181818181818182,0.8372093023255814,44.0
Chevrolet Sonic Sedan 2012,0.7727272727272727,0.7727272727272727,0.7727272727272727,44.0
Chevrolet Express Van 2007,1.0,0.9714285714285714,0.9855072463768116,35.0
Mercedes-Benz E-Class Sedan 2012,0.7358490566037735,0.9069767441860465,0.8125,43.0
Toyota 4Runner SUV 2012,0.9705882352941176,0.825,0.8918918918918919,40.0
Volkswagen Golf Hatchback 2012,0.8571428571428571,0.6976744186046512,0.7692307692307693,43.0
accuracy,0.812807881773399,0.812807881773399,0.812807881773399,0.812807881773399
macro avg,0.824486871862719,0.8143512098602853,0.8155099706276985,406.0
weighted avg,0.8215096584183861,0.812807881773399,0.8132398385701701,406.0
