,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.0,0.0,0.0,39.0
BMW 1 Series Convertible 2012,0.25,0.02857142857142857,0.05128205128205128,35.0
BMW 3 Series Sedan 2012,0.25773195876288657,0.5952380952380952,0.3597122302158273,42.0
BMW M6 Convertible 2010,0.0,0.0,0.0,41.0
Chevrolet Traverse SUV 2012,0.0,0.0,0.0,44.0
Chevrolet Sonic Sedan 2012,0.1935483870967742,0.13636363636363635,0.16,44.0
Chevrolet Express Van 2007,0.0,0.0,0.0,35.0
Mercedes-Benz E-Class Sedan 2012,0.0,0.0,0.0,43.0
Toyota 4Runner SUV 2012,0.0,0.0,0.0,40.0
Volkswagen Golf Hatchback 2012,0.12773722627737227,0.813953488372093,0.22082018927444794,43.0
accuracy,0.16502463054187191,0.16502463054187191,0.16502463054187191,0.16502463054187191
macro avg,0.08290175721370331,0.15741266485452532,0.07918144707723265,406.0
weighted avg,0.08271815770991701,0.16502463054187191,0.08235973793777784,406.0
