,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.8863636363636364,0.8863636363636364,0.8863636363636364,44.0
Acura RL Sedan 2012,0.6774193548387096,0.65625,0.6666666666666666,32.0
Acura TL Sedan 2012,0.7659574468085106,0.8372093023255814,0.8,43.0
Acura TL Type-S 2008,0.8292682926829268,0.8095238095238095,0.8192771084337349,42.0
Acura TSX Sedan 2012,0.8648648648648649,0.8,0.8311688311688312,40.0
Acura Integra Type R 2001,0.8367346938775511,0.9318181818181818,0.8817204301075269,44.0
Acura ZDX Hatchback 2012,0.9666666666666667,0.7435897435897436,0.8405797101449275,39.0
Aston Martin V8 Vantage Convertible 2012,0.7692307692307693,0.6666666666666666,0.7142857142857143,45.0
Aston Martin V8 Vantage Coupe 2012,0.7441860465116279,0.7804878048780488,0.7619047619047619,41.0
Aston Martin Virage Convertible 2012,0.7857142857142857,0.6666666666666666,0.7213114754098361,33.0
Aston Martin Virage Coupe 2012,0.6739130434782609,0.8157894736842105,0.7380952380952381,38.0
Audi RS 4 Convertible 2008,0.7619047619047619,0.8888888888888888,0.8205128205128205,36.0
Audi A5 Coupe 2012,0.6363636363636364,0.8536585365853658,0.7291666666666666,41.0
Audi TTS Coupe 2012,0.7058823529411765,0.5714285714285714,0.631578947368421,42.0
Audi R8 Coupe 2012,0.8163265306122449,0.9302325581395349,0.8695652173913043,43.0
Audi V8 Sedan 1994,0.6875,0.7674418604651163,0.7252747252747253,43.0
Audi 100 Sedan 1994,0.6458333333333334,0.775,0.7045454545454546,40.0
Audi 100 Wagon 1994,0.7837837837837838,0.6904761904761905,0.7341772151898734,42.0
Audi TT Hatchback 2011,0.5490196078431373,0.7,0.6153846153846154,40.0
Audi S6 Sedan 2011,0.6666666666666666,0.8695652173913043,0.7547169811320755,46.0
Audi S5 Convertible 2012,0.9117647058823529,0.7380952380952381,0.8157894736842105,42.0
Audi S5 Coupe 2012,0.6153846153846154,0.38095238095238093,0.47058823529411764,42.0
Audi S4 Sedan 2012,0.631578947368421,0.6153846153846154,0.6233766233766234,39.0
Audi S4 Sedan 2007,0.7906976744186046,0.7555555555555555,0.7727272727272727,45.0
Audi TT RS Coupe 2012,0.7837837837837838,0.7435897435897436,0.7631578947368421,39.0
