,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.7941176470588235,0.6923076923076923,0.7397260273972602,39.0
Aston Martin V8 Vantage Convertible 2012,0.5625,0.2,0.29508196721311475,45.0
Aston Martin V8 Vantage Coupe 2012,0.5882352941176471,0.7317073170731707,0.6521739130434783,41.0
Audi S4 Sedan 2012,0.4146341463414634,0.4358974358974359,0.425,39.0
Audi S4 Sedan 2007,0.5,0.6888888888888889,0.5794392523364486,45.0
BMW 1 Series Convertible 2012,0.7352941176470589,0.7142857142857143,0.7246376811594203,35.0
BMW 3 Series Sedan 2012,0.78125,0.5952380952380952,0.6756756756756757,42.0
BMW M6 Convertible 2010,0.6111111111111112,0.8048780487804879,0.6947368421052632,41.0
Chevrolet Corvette ZR1 2012,0.8936170212765957,0.9130434782608695,0.9032258064516129,46.0
Chevrolet Traverse SUV 2012,0.8333333333333334,0.7954545454545454,0.813953488372093,44.0
Chevrolet HHR SS 2010,0.9714285714285714,0.9444444444444444,0.9577464788732394,36.0
Chevrolet Sonic Sedan 2012,0.603448275862069,0.7954545454545454,0.6862745098039216,44.0
Chevrolet Express Van 2007,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0
Ford Expedition EL SUV 2009,0.9069767441860465,0.8863636363636364,0.896551724137931,44.0
Hyundai Azera Sedan 2012,0.6101694915254238,0.8571428571428571,0.7128712871287128,42.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,1.0,0.8285714285714286,0.90625,35.0
Mercedes-Benz E-Class Sedan 2012,0.6037735849056604,0.7441860465116279,0.6666666666666666,43.0
Ram C/V Cargo Van Minivan 2012,0.90625,0.7073170731707317,0.7945205479452054,41.0
Toyota 4Runner SUV 2012,0.9411764705882353,0.8,0.8648648648648649,40.0
Volkswagen Golf Hatchback 2012,0.9666666666666667,0.6744186046511628,0.7945205479452054,43.0
accuracy,0.7329268292682927,0.7329268292682927,0.7329268292682927,0.7329268292682927
macro avg,0.758257947331847,0.7361942783391524,0.7355726756502087,820.0
weighted avg,0.7533884518650836,0.7329268292682927,0.730916433793062,820.0
