,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.5272727272727272,0.6590909090909091,0.5858585858585859,44.0
Acura RL Sedan 2012,0.2413793103448276,0.21875,0.22950819672131148,32.0
Acura TL Sedan 2012,0.7142857142857143,0.3488372093023256,0.46875,43.0
Acura TL Type-S 2008,0.7058823529411765,0.2857142857142857,0.4067796610169492,42.0
Acura TSX Sedan 2012,0.8333333333333334,0.125,0.21739130434782608,40.0
Acura Integra Type R 2001,0.5185185185185185,0.3181818181818182,0.39436619718309857,44.0
Acura ZDX Hatchback 2012,0.5625,0.23076923076923078,0.32727272727272727,39.0
Aston Martin V8 Vantage Convertible 2012,0.17857142857142858,0.1111111111111111,0.136986301369863,45.0
Aston Martin V8 Vantage Coupe 2012,0.17117117117117117,0.4634146341463415,0.25,41.0
Aston Martin Virage Convertible 2012,0.6666666666666666,0.06060606060606061,0.1111111111111111,33.0
Aston Martin Virage Coupe 2012,0.6923076923076923,0.23684210526315788,0.35294117647058826,38.0
Audi RS 4 Convertible 2008,0.7777777777777778,0.3888888888888889,0.5185185185185185,36.0
Audi A5 Coupe 2012,0.42857142857142855,0.36585365853658536,0.39473684210526316,41.0
Audi TTS Coupe 2012,0.2727272727272727,0.14285714285714285,0.1875,42.0
Audi R8 Coupe 2012,0.2564102564102564,0.23255813953488372,0.24390243902439024,43.0
Audi V8 Sedan 1994,0.5,0.06976744186046512,0.12244897959183673,43.0
Audi 100 Sedan 1994,0.3333333333333333,0.525,0.4077669902912621,40.0
Audi 100 Wagon 1994,0.375,0.2857142857142857,0.32432432432432434,42.0
Audi TT Hatchback 2011,0.2903225806451613,0.45,0.35294117647058826,40.0
Audi S6 Sedan 2011,0.65625,0.45652173913043476,0.5384615384615384,46.0
Audi S5 Convertible 2012,0.6842105263157895,0.30952380952380953,0.4262295081967213,42.0
Audi S5 Coupe 2012,0.3103448275862069,0.21428571428571427,0.2535211267605634,42.0
Audi S4 Sedan 2012,0.26666666666666666,0.10256410256410256,0.14814814814814814,39.0
Audi S4 Sedan 2007,0.2222222222222222,0.3111111111111111,0.25925925925925924,45.0
Audi TT RS Coupe 2012,0.23529411764705882,0.20512820512820512,0.2191780821917808,39.0
BMW ActiveHybrid 5 Sedan 2012,1.0,0.3235294117647059,0.4888888888888889,34.0
BMW 1 Series Convertible 2012,0.7647058823529411,0.37142857142857144,0.5,35.0
BMW 1 Series Coupe 2012,0.7,0.5121951219512195,0.5915492957746479,41.0
BMW 3 Series Sedan 2012,0.5,0.16666666666666666,0.25,42.0
BMW 3 Series Wagon 2012,0.6818181818181818,0.36585365853658536,0.47619047619047616,41.0
BMW 6 Series Convertible 2007,0.5,0.1590909090909091,0.2413793103448276,44.0
BMW X5 SUV 2007,0.5714285714285714,0.0975609756097561,0.16666666666666666,41.0
BMW X6 SUV 2012,0.5625,0.21428571428571427,0.3103448275862069,42.0
BMW M3 Coupe 2012,0.5142857142857142,0.4090909090909091,0.45569620253164556,44.0
BMW M5 Sedan 2010,0.6666666666666666,0.24390243902439024,0.35714285714285715,41.0
BMW M6 Convertible 2010,0.375,0.07317073170731707,0.12244897959183673,41.0
BMW X3 SUV 2012,0.5185185185185185,0.3684210526315789,0.4307692307692308,38.0
BMW Z4 Convertible 2012,0.6470588235294118,0.275,0.38596491228070173,40.0
Bentley Continental Supersports Conv. Convertible 2012,0.20353982300884957,0.6388888888888888,0.3087248322147651,36.0
Bentley Arnage Sedan 2009,0.6363636363636364,0.1794871794871795,0.28,39.0
Bentley Mulsanne Sedan 2011,0.46875,0.42857142857142855,0.44776119402985076,35.0
Bentley Continental GT Coupe 2012,0.13636363636363635,0.7058823529411765,0.22857142857142856,34.0
Bentley Continental GT Coupe 2007,0.14285714285714285,0.21739130434782608,0.1724137931034483,46.0
Bentley Continental Flying Spur Sedan 2007,0.21176470588235294,0.4090909090909091,0.27906976744186046,44.0
Bugatti Veyron 16.4 Convertible 2009,0.6666666666666666,0.3125,0.425531914893617,32.0
Bugatti Veyron 16.4 Coupe 2009,0.2692307692307692,0.6511627906976745,0.38095238095238093,43.0
Buick Regal GS 2012,0.3888888888888889,0.4,0.39436619718309857,35.0
Buick Rainier SUV 2007,0.55,0.2619047619047619,0.3548387096774194,42.0
Buick Verano Sedan 2012,0.6333333333333333,0.5135135135135135,0.5671641791044776,37.0
Buick Enclave SUV 2012,0.5576923076923077,0.6904761904761905,0.6170212765957447,42.0
Cadillac CTS-V Sedan 2012,0.26506024096385544,0.5116279069767442,0.3492063492063492,43.0
Cadillac SRX SUV 2012,0.2857142857142857,0.34146341463414637,0.3111111111111111,41.0
Cadillac Escalade EXT Crew Cab 2007,0.2716049382716049,0.5,0.352,44.0
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.48717948717948717,0.475,0.4810126582278481,40.0
Chevrolet Corvette Convertible 2012,0.5384615384615384,0.1794871794871795,0.2692307692307692,39.0
Chevrolet Corvette ZR1 2012,0.25,0.21739130434782608,0.23255813953488372,46.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.5333333333333333,0.21621621621621623,0.3076923076923077,37.0
Chevrolet Traverse SUV 2012,0.52,0.29545454545454547,0.37681159420289856,44.0
Chevrolet Camaro Convertible 2012,0.6,0.2727272727272727,0.375,44.0
Chevrolet HHR SS 2010,0.4,0.7222222222222222,0.5148514851485149,36.0
Chevrolet Impala Sedan 2007,0.2558139534883721,0.2558139534883721,0.2558139534883721,43.0
Chevrolet Tahoe Hybrid SUV 2012,0.8333333333333334,0.13513513513513514,0.23255813953488372,37.0
Chevrolet Sonic Sedan 2012,0.3333333333333333,0.20454545454545456,0.2535211267605634,44.0
Chevrolet Express Cargo Van 2007,0.058823529411764705,0.034482758620689655,0.043478260869565216,29.0
Chevrolet Avalanche Crew Cab 2012,0.28205128205128205,0.24444444444444444,0.2619047619047619,45.0
Chevrolet Cobalt SS 2010,0.48936170212765956,0.5609756097560976,0.5227272727272727,41.0
Chevrolet Malibu Hybrid Sedan 2010,0.16546762589928057,0.6052631578947368,0.2598870056497175,38.0
Chevrolet TrailBlazer SS 2009,0.4,0.2,0.26666666666666666,40.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.3076923076923077,0.21052631578947367,0.25,38.0
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.6470588235294118,0.5238095238095238,0.5789473684210527,42.0
Chevrolet Express Van 2007,0.34782608695652173,0.22857142857142856,0.27586206896551724,35.0
Chevrolet Monte Carlo Coupe 2007,0.13076923076923078,0.37777777777777777,0.19428571428571428,45.0
Chevrolet Malibu Sedan 2007,0.3333333333333333,0.38636363636363635,0.35789473684210527,44.0
Chevrolet Silverado 1500 Extended Cab 2012,0.24528301886792453,0.3023255813953488,0.2708333333333333,43.0
Chevrolet Silverado 1500 Regular Cab 2012,0.5,0.18181818181818182,0.26666666666666666,44.0
Chrysler Aspen SUV 2009,0.375,0.7674418604651163,0.5038167938931297,43.0
Chrysler Sebring Convertible 2010,0.5789473684210527,0.275,0.3728813559322034,40.0
Chrysler Town and Country Minivan 2012,0.4166666666666667,0.6756756756756757,0.5154639175257731,37.0
Chrysler 300 SRT-8 2010,0.2894736842105263,0.4583333333333333,0.3548387096774194,48.0
Chrysler Crossfire Convertible 2008,0.5,0.6046511627906976,0.5473684210526316,43.0
Chrysler PT Cruiser Convertible 2008,0.35294117647058826,0.8,0.4897959183673469,45.0
Daewoo Nubira Wagon 2002,0.4166666666666667,0.4444444444444444,0.43010752688172044,45.0
Dodge Caliber Wagon 2012,0.14193548387096774,0.55,0.22564102564102564,40.0
Dodge Caliber Wagon 2007,0.4722222222222222,0.40476190476190477,0.4358974358974359,42.0
Dodge Caravan Minivan 1997,0.5142857142857142,0.4186046511627907,0.46153846153846156,43.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.4791666666666667,0.5476190476190477,0.5111111111111111,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.3888888888888889,0.1590909090909091,0.22580645161290322,44.0
Dodge Sprinter Cargo Van 2009,0.4090909090909091,0.6923076923076923,0.5142857142857142,39.0
Dodge Journey SUV 2012,0.5490196078431373,0.6363636363636364,0.5894736842105263,44.0
Dodge Dakota Crew Cab 2010,0.5102040816326531,0.6097560975609756,0.5555555555555556,41.0
Dodge Dakota Club Cab 2007,0.2604166666666667,0.6578947368421053,0.373134328358209,38.0
Dodge Magnum Wagon 2008,0.15217391304347827,0.525,0.23595505617977527,40.0
Dodge Challenger SRT8 2011,0.8888888888888888,0.20512820512820512,0.3333333333333333,39.0
Dodge Durango SUV 2012,0.8571428571428571,0.4186046511627907,0.5625,43.0
Dodge Durango SUV 2007,0.3050847457627119,0.4,0.34615384615384615,45.0
Dodge Charger Sedan 2012,0.5625,0.21951219512195122,0.3157894736842105,41.0
Dodge Charger SRT-8 2009,0.3902439024390244,0.38095238095238093,0.3855421686746988,42.0
Eagle Talon Hatchback 1998,0.36363636363636365,0.17391304347826086,0.23529411764705882,46.0
FIAT 500 Abarth 2012,0.5,0.07407407407407407,0.12903225806451613,27.0
FIAT 500 Convertible 2012,0.5588235294117647,0.5757575757575758,0.5671641791044776,33.0
Ferrari FF Coupe 2012,0.15172413793103448,0.5238095238095238,0.23529411764705882,42.0
Ferrari California Convertible 2012,0.5789473684210527,0.28205128205128205,0.3793103448275862,39.0
Ferrari 458 Italia Convertible 2012,0.46153846153846156,0.15384615384615385,0.23076923076923078,39.0
Ferrari 458 Italia Coupe 2012,0.37142857142857144,0.6190476190476191,0.4642857142857143,42.0
Fisker Karma Sedan 2012,0.5,0.23255813953488372,0.31746031746031744,43.0
Ford F-450 Super Duty Crew Cab 2012,0.6666666666666666,0.43902439024390244,0.5294117647058824,41.0
Ford Mustang Convertible 2007,0.2463768115942029,0.38636363636363635,0.3008849557522124,44.0
Ford Freestar Minivan 2007,0.6,0.5454545454545454,0.5714285714285714,44.0
Ford Expedition EL SUV 2009,0.4222222222222222,0.4318181818181818,0.42696629213483145,44.0
Ford Edge SUV 2012,0.5,0.3953488372093023,0.44155844155844154,43.0
Ford Ranger SuperCab 2011,0.34285714285714286,0.2857142857142857,0.3116883116883117,42.0
Ford GT Coupe 2006,0.5172413793103449,0.3333333333333333,0.40540540540540543,45.0
Ford F-150 Regular Cab 2012,0.6363636363636364,0.3333333333333333,0.4375,42.0
Ford F-150 Regular Cab 2007,0.45454545454545453,0.2222222222222222,0.29850746268656714,45.0
Ford Focus Sedan 2007,0.3116883116883117,0.5333333333333333,0.39344262295081966,45.0
Ford E-Series Wagon Van 2012,0.5833333333333334,0.3783783783783784,0.45901639344262296,37.0
Ford Fiesta Sedan 2012,0.29577464788732394,0.5,0.37168141592920356,42.0
GMC Terrain SUV 2012,0.5263157894736842,0.4878048780487805,0.5063291139240507,41.0
GMC Savana Van 2012,0.47368421052631576,0.6617647058823529,0.5521472392638037,68.0
GMC Yukon Hybrid SUV 2012,0.5625,0.42857142857142855,0.4864864864864865,42.0
GMC Acadia SUV 2012,0.5348837209302325,0.5227272727272727,0.5287356321839081,44.0
GMC Canyon Extended Cab 2012,0.7333333333333333,0.275,0.4,40.0
Geo Metro Convertible 1993,0.5076923076923077,0.75,0.6055045871559633,44.0
HUMMER H3T Crew Cab 2010,0.4523809523809524,0.48717948717948717,0.4691358024691358,39.0
HUMMER H2 SUT Crew Cab 2009,0.8,0.37209302325581395,0.5079365079365079,43.0
Honda Odyssey Minivan 2012,0.7647058823529411,0.30952380952380953,0.4406779661016949,42.0
Honda Odyssey Minivan 2007,0.5588235294117647,0.4634146341463415,0.5066666666666667,41.0
Honda Accord Coupe 2012,0.4117647058823529,0.358974358974359,0.3835616438356164,39.0
