,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.8108108108108109,0.6818181818181818,0.7407407407407407,44.0
Acura RL Sedan 2012,0.2727272727272727,0.28125,0.27692307692307694,32.0
Acura TL Sedan 2012,0.5,0.37209302325581395,0.4266666666666667,43.0
Acura TL Type-S 2008,0.40540540540540543,0.35714285714285715,0.379746835443038,42.0
Acura TSX Sedan 2012,0.35135135135135137,0.325,0.33766233766233766,40.0
Acura Integra Type R 2001,0.6774193548387096,0.4772727272727273,0.56,44.0
Acura ZDX Hatchback 2012,0.45454545454545453,0.2564102564102564,0.32786885245901637,39.0
Aston Martin V8 Vantage Convertible 2012,0.43478260869565216,0.2222222222222222,0.29411764705882354,45.0
Aston Martin V8 Vantage Coupe 2012,0.32653061224489793,0.3902439024390244,0.35555555555555557,41.0
Aston Martin Virage Convertible 2012,0.41935483870967744,0.3939393939393939,0.40625,33.0
Aston Martin Virage Coupe 2012,0.7105263157894737,0.7105263157894737,0.7105263157894737,38.0
Audi RS 4 Convertible 2008,0.5128205128205128,0.5555555555555556,0.5333333333333333,36.0
Audi A5 Coupe 2012,0.47368421052631576,0.43902439024390244,0.45569620253164556,41.0
Audi TTS Coupe 2012,0.45161290322580644,0.3333333333333333,0.3835616438356164,42.0
Audi R8 Coupe 2012,0.3541666666666667,0.3953488372093023,0.37362637362637363,43.0
Audi V8 Sedan 1994,0.3902439024390244,0.37209302325581395,0.38095238095238093,43.0
Audi 100 Sedan 1994,0.6086956521739131,0.35,0.4444444444444444,40.0
Audi 100 Wagon 1994,0.5416666666666666,0.30952380952380953,0.3939393939393939,42.0
Audi TT Hatchback 2011,0.41379310344827586,0.3,0.34782608695652173,40.0
Audi S6 Sedan 2011,0.3380281690140845,0.5217391304347826,0.41025641025641024,46.0
Audi S5 Convertible 2012,0.6285714285714286,0.5238095238095238,0.5714285714285714,42.0
Audi S5 Coupe 2012,0.27586206896551724,0.19047619047619047,0.22535211267605634,42.0
Audi S4 Sedan 2012,0.17647058823529413,0.15384615384615385,0.1643835616438356,39.0
Audi S4 Sedan 2007,0.2564102564102564,0.2222222222222222,0.23809523809523808,45.0
Audi TT RS Coupe 2012,0.6666666666666666,0.3076923076923077,0.42105263157894735,39.0
BMW ActiveHybrid 5 Sedan 2012,0.2753623188405797,0.5588235294117647,0.36893203883495146,34.0
BMW 1 Series Convertible 2012,0.56,0.4,0.4666666666666667,35.0
BMW 1 Series Coupe 2012,0.425,0.4146341463414634,0.41975308641975306,41.0
BMW 3 Series Sedan 2012,0.23684210526315788,0.21428571428571427,0.225,42.0
BMW 3 Series Wagon 2012,0.2553191489361702,0.2926829268292683,0.2727272727272727,41.0
BMW 6 Series Convertible 2007,0.36585365853658536,0.3409090909090909,0.35294117647058826,44.0
BMW X5 SUV 2007,0.631578947368421,0.2926829268292683,0.4,41.0
BMW X6 SUV 2012,0.5925925925925926,0.38095238095238093,0.463768115942029,42.0
BMW M3 Coupe 2012,0.4074074074074074,0.25,0.30985915492957744,44.0
BMW M5 Sedan 2010,0.375,0.36585365853658536,0.37037037037037035,41.0
BMW M6 Convertible 2010,0.32,0.3902439024390244,0.3516483516483517,41.0
BMW X3 SUV 2012,0.4375,0.5526315789473685,0.4883720930232558,38.0
BMW Z4 Convertible 2012,0.34375,0.275,0.3055555555555556,40.0
Bentley Continental Supersports Conv. Convertible 2012,0.5517241379310345,0.4444444444444444,0.49230769230769234,36.0
Bentley Arnage Sedan 2009,0.5,0.5384615384615384,0.5185185185185185,39.0
Bentley Mulsanne Sedan 2011,0.5,0.45714285714285713,0.47761194029850745,35.0
Bentley Continental GT Coupe 2012,0.5454545454545454,0.35294117647058826,0.42857142857142855,34.0
Bentley Continental GT Coupe 2007,0.4186046511627907,0.391304347826087,0.4044943820224719,46.0
Bentley Continental Flying Spur Sedan 2007,0.35135135135135137,0.29545454545454547,0.32098765432098764,44.0
Bugatti Veyron 16.4 Convertible 2009,0.6153846153846154,0.5,0.5517241379310345,32.0
Bugatti Veyron 16.4 Coupe 2009,0.3473684210526316,0.7674418604651163,0.4782608695652174,43.0
Buick Regal GS 2012,0.3050847457627119,0.5142857142857142,0.3829787234042553,35.0
Buick Rainier SUV 2007,0.6538461538461539,0.40476190476190477,0.5,42.0
Buick Verano Sedan 2012,0.26229508196721313,0.43243243243243246,0.32653061224489793,37.0
Buick Enclave SUV 2012,0.4444444444444444,0.6666666666666666,0.5333333333333333,42.0
Cadillac CTS-V Sedan 2012,0.6538461538461539,0.3953488372093023,0.4927536231884058,43.0
Cadillac SRX SUV 2012,0.4444444444444444,0.1951219512195122,0.2711864406779661,41.0
Cadillac Escalade EXT Crew Cab 2007,0.5909090909090909,0.29545454545454547,0.3939393939393939,44.0
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.40540540540540543,0.375,0.38961038961038963,40.0
Chevrolet Corvette Convertible 2012,0.5714285714285714,0.3076923076923077,0.4,39.0
Chevrolet Corvette ZR1 2012,0.5625,0.5869565217391305,0.574468085106383,46.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.7727272727272727,0.4594594594594595,0.576271186440678,37.0
Chevrolet Traverse SUV 2012,0.5,0.38636363636363635,0.4358974358974359,44.0
Chevrolet Camaro Convertible 2012,0.46153846153846156,0.4090909090909091,0.43373493975903615,44.0
Chevrolet HHR SS 2010,0.71875,0.6388888888888888,0.6764705882352942,36.0
Chevrolet Impala Sedan 2007,0.3111111111111111,0.32558139534883723,0.3181818181818182,43.0
Chevrolet Tahoe Hybrid SUV 2012,0.4375,0.3783783783783784,0.4057971014492754,37.0
Chevrolet Sonic Sedan 2012,0.17647058823529413,0.4090909090909091,0.2465753424657534,44.0
Chevrolet Express Cargo Van 2007,0.4117647058823529,0.2413793103448276,0.30434782608695654,29.0
Chevrolet Avalanche Crew Cab 2012,0.3684210526315789,0.15555555555555556,0.21875,45.0
Chevrolet Cobalt SS 2010,0.6,0.5121951219512195,0.5526315789473685,41.0
Chevrolet Malibu Hybrid Sedan 2010,0.5,0.5526315789473685,0.525,38.0
Chevrolet TrailBlazer SS 2009,0.5625,0.45,0.5,40.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.5,0.4473684210526316,0.4722222222222222,38.0
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.7272727272727273,0.5714285714285714,0.64,42.0
Chevrolet Express Van 2007,0.25,0.37142857142857144,0.2988505747126437,35.0
Chevrolet Monte Carlo Coupe 2007,0.5,0.15555555555555556,0.23728813559322035,45.0
Chevrolet Malibu Sedan 2007,0.5,0.06818181818181818,0.12,44.0
Chevrolet Silverado 1500 Extended Cab 2012,0.23809523809523808,0.23255813953488372,0.23529411764705882,43.0
Chevrolet Silverado 1500 Regular Cab 2012,0.43548387096774194,0.6136363636363636,0.5094339622641509,44.0
Chrysler Aspen SUV 2009,0.45454545454545453,0.3488372093023256,0.39473684210526316,43.0
Chrysler Sebring Convertible 2010,0.625,0.375,0.46875,40.0
Chrysler Town and Country Minivan 2012,0.41379310344827586,0.6486486486486487,0.5052631578947369,37.0
Chrysler 300 SRT-8 2010,0.4888888888888889,0.4583333333333333,0.4731182795698925,48.0
Chrysler Crossfire Convertible 2008,0.5945945945945946,0.5116279069767442,0.55,43.0
Chrysler PT Cruiser Convertible 2008,0.6181818181818182,0.7555555555555555,0.68,45.0
Daewoo Nubira Wagon 2002,0.4791666666666667,0.5111111111111111,0.4946236559139785,45.0
Dodge Caliber Wagon 2012,0.5238095238095238,0.275,0.36065573770491804,40.0
Dodge Caliber Wagon 2007,0.5789473684210527,0.5238095238095238,0.55,42.0
Dodge Caravan Minivan 1997,0.7555555555555555,0.7906976744186046,0.7727272727272727,43.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.4878048780487805,0.47619047619047616,0.4819277108433735,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.45652173913043476,0.4772727272727273,0.4666666666666667,44.0
Dodge Sprinter Cargo Van 2009,0.8333333333333334,0.38461538461538464,0.5263157894736842,39.0
Dodge Journey SUV 2012,0.46875,0.6818181818181818,0.5555555555555556,44.0
Dodge Dakota Crew Cab 2010,0.5405405405405406,0.4878048780487805,0.5128205128205128,41.0
Dodge Dakota Club Cab 2007,0.4444444444444444,0.3157894736842105,0.36923076923076925,38.0
Dodge Magnum Wagon 2008,0.625,0.625,0.625,40.0
Dodge Challenger SRT8 2011,0.5490196078431373,0.717948717948718,0.6222222222222222,39.0
Dodge Durango SUV 2012,0.40229885057471265,0.813953488372093,0.5384615384615384,43.0
Dodge Durango SUV 2007,0.3118279569892473,0.6444444444444445,0.42028985507246375,45.0
Dodge Charger Sedan 2012,0.2441860465116279,0.5121951219512195,0.33070866141732286,41.0
Dodge Charger SRT-8 2009,0.38461538461538464,0.35714285714285715,0.37037037037037035,42.0
Eagle Talon Hatchback 1998,0.5217391304347826,0.2608695652173913,0.34782608695652173,46.0
FIAT 500 Abarth 2012,0.5777777777777777,0.9629629629629629,0.7222222222222222,27.0
FIAT 500 Convertible 2012,0.7,0.6363636363636364,0.6666666666666666,33.0
Ferrari FF Coupe 2012,0.7666666666666667,0.5476190476190477,0.6388888888888888,42.0
Ferrari California Convertible 2012,0.5217391304347826,0.6153846153846154,0.5647058823529412,39.0
Ferrari 458 Italia Convertible 2012,0.6206896551724138,0.46153846153846156,0.5294117647058824,39.0
Ferrari 458 Italia Coupe 2012,0.4897959183673469,0.5714285714285714,0.5274725274725275,42.0
Fisker Karma Sedan 2012,0.3125,0.23255813953488372,0.26666666666666666,43.0
Ford F-450 Super Duty Crew Cab 2012,0.6481481481481481,0.8536585365853658,0.7368421052631579,41.0
Ford Mustang Convertible 2007,0.75,0.20454545454545456,0.32142857142857145,44.0
Ford Freestar Minivan 2007,0.7647058823529411,0.5909090909090909,0.6666666666666666,44.0
Ford Expedition EL SUV 2009,0.72,0.4090909090909091,0.5217391304347826,44.0
Ford Edge SUV 2012,0.3048780487804878,0.5813953488372093,0.4,43.0
Ford Ranger SuperCab 2011,0.6470588235294118,0.5238095238095238,0.5789473684210527,42.0
Ford GT Coupe 2006,0.5135135135135135,0.4222222222222222,0.4634146341463415,45.0
Ford F-150 Regular Cab 2012,0.5294117647058824,0.6428571428571429,0.5806451612903226,42.0
Ford F-150 Regular Cab 2007,0.5714285714285714,0.4444444444444444,0.5,45.0
Ford Focus Sedan 2007,0.38461538461538464,0.2222222222222222,0.28169014084507044,45.0
Ford E-Series Wagon Van 2012,0.7368421052631579,0.7567567567567568,0.7466666666666667,37.0
Ford Fiesta Sedan 2012,0.5555555555555556,0.47619047619047616,0.5128205128205128,42.0
GMC Terrain SUV 2012,0.7,0.5121951219512195,0.5915492957746479,41.0
GMC Savana Van 2012,0.65,0.5735294117647058,0.609375,68.0
GMC Yukon Hybrid SUV 2012,0.425,0.40476190476190477,0.4146341463414634,42.0
GMC Acadia SUV 2012,0.4166666666666667,0.45454545454545453,0.43478260869565216,44.0
GMC Canyon Extended Cab 2012,0.5,0.4,0.4444444444444444,40.0
Geo Metro Convertible 1993,0.9666666666666667,0.6590909090909091,0.7837837837837838,44.0
HUMMER H3T Crew Cab 2010,0.45714285714285713,0.41025641025641024,0.43243243243243246,39.0
HUMMER H2 SUT Crew Cab 2009,0.6666666666666666,0.5116279069767442,0.5789473684210527,43.0
Honda Odyssey Minivan 2012,0.5217391304347826,0.5714285714285714,0.5454545454545454,42.0
Honda Odyssey Minivan 2007,0.37777777777777777,0.4146341463414634,0.3953488372093023,41.0
Honda Accord Coupe 2012,0.391304347826087,0.23076923076923078,0.2903225806451613,39.0
Honda Accord Sedan 2012,0.22727272727272727,0.13157894736842105,0.16666666666666666,38.0
Hyundai Veloster Hatchback 2012,0.4791666666666667,0.5609756097560976,0.5168539325842697,41.0
Hyundai Santa Fe SUV 2012,0.625,0.35714285714285715,0.45454545454545453,42.0
Hyundai Tucson SUV 2012,0.631578947368421,0.5581395348837209,0.5925925925925926,43.0
Hyundai Veracruz SUV 2012,0.2,0.30952380952380953,0.24299065420560748,42.0
Hyundai Sonata Hybrid Sedan 2012,0.39285714285714285,0.3333333333333333,0.36065573770491804,33.0
Hyundai Elantra Sedan 2007,0.4318181818181818,0.4523809523809524,0.4418604651162791,42.0
Hyundai Accent Sedan 2012,0.25,0.20833333333333334,0.22727272727272727,24.0
Hyundai Genesis Sedan 2012,0.2692307692307692,0.4883720930232558,0.34710743801652894,43.0
Hyundai Sonata Sedan 2012,0.3235294117647059,0.28205128205128205,0.3013698630136986,39.0
Hyundai Elantra Touring Hatchback 2012,0.34210526315789475,0.6190476190476191,0.4406779661016949,42.0
Hyundai Azera Sedan 2012,0.23376623376623376,0.42857142857142855,0.3025210084033613,42.0
Infiniti G Coupe IPL 2012,0.4444444444444444,0.35294117647058826,0.39344262295081966,34.0
Infiniti QX56 SUV 2011,0.7647058823529411,0.40625,0.5306122448979592,32.0
Isuzu Ascender SUV 2008,0.6,0.525,0.56,40.0
Jaguar XK XKR 2012,0.2727272727272727,0.45652173913043476,0.34146341463414637,46.0
Jeep Patriot SUV 2012,0.4492753623188406,0.7045454545454546,0.5486725663716814,44.0
Jeep Wrangler SUV 2012,0.7454545454545455,0.9534883720930233,0.8367346938775511,43.0
Jeep Liberty SUV 2012,0.5666666666666667,0.38636363636363635,0.4594594594594595,44.0
Jeep Grand Cherokee SUV 2012,0.45,0.2,0.27692307692307694,45.0
Jeep Compass SUV 2012,0.43636363636363634,0.5714285714285714,0.4948453608247423,42.0
Lamborghini Reventon Coupe 2008,0.8064516129032258,0.6944444444444444,0.746268656716418,36.0
Lamborghini Aventador Coupe 2012,0.7857142857142857,0.5116279069767442,0.6197183098591549,43.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.8275862068965517,0.6857142857142857,0.75,35.0
Lamborghini Diablo Coupe 2001,0.8055555555555556,0.6590909090909091,0.725,44.0
Land Rover Range Rover SUV 2012,0.6086956521739131,0.6666666666666666,0.6363636363636364,42.0
Land Rover LR2 SUV 2012,0.6363636363636364,0.5,0.56,42.0
Lincoln Town Car Sedan 2011,0.7142857142857143,0.6410256410256411,0.6756756756756757,39.0
MINI Cooper Roadster Convertible 2012,0.5555555555555556,0.8333333333333334,0.6666666666666666,36.0
Maybach Landaulet Convertible 2012,0.7619047619047619,0.5517241379310345,0.64,29.0
Mazda Tribute SUV 2011,0.7096774193548387,0.6111111111111112,0.6567164179104478,36.0
McLaren MP4-12C Coupe 2012,0.5846153846153846,0.8636363636363636,0.6972477064220184,44.0
Mercedes-Benz 300-Class Convertible 1993,0.7567567567567568,0.5833333333333334,0.6588235294117647,48.0
Mercedes-Benz C-Class Sedan 2012,0.4358974358974359,0.37777777777777777,0.40476190476190477,45.0
Mercedes-Benz SL-Class Coupe 2009,0.5925925925925926,0.4444444444444444,0.5079365079365079,36.0
Mercedes-Benz E-Class Sedan 2012,0.26666666666666666,0.37209302325581395,0.3106796116504854,43.0
Mercedes-Benz S-Class Sedan 2012,0.5,0.29545454545454547,0.37142857142857144,44.0
Mercedes-Benz Sprinter Van 2012,0.6274509803921569,0.7804878048780488,0.6956521739130435,41.0
Mitsubishi Lancer Sedan 2012,0.2535211267605634,0.3829787234042553,0.3050847457627119,47.0
Nissan Leaf Hatchback 2012,0.6296296296296297,0.8095238095238095,0.7083333333333334,42.0
Nissan NV Passenger Van 2012,0.6764705882352942,0.6052631578947368,0.6388888888888888,38.0
Nissan Juke Hatchback 2012,0.4909090909090909,0.6136363636363636,0.5454545454545454,44.0
Nissan 240SX Coupe 1998,0.5483870967741935,0.7391304347826086,0.6296296296296297,46.0
Plymouth Neon Coupe 1999,0.6,0.6136363636363636,0.6067415730337079,44.0
Porsche Panamera Sedan 2012,0.2564102564102564,0.46511627906976744,0.3305785123966942,43.0
Ram C/V Cargo Van Minivan 2012,0.7142857142857143,0.36585365853658536,0.4838709677419355,41.0
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
Rolls-Royce Ghost Sedan 2012,0.38095238095238093,0.631578947368421,0.4752475247524752,38.0
Rolls-Royce Phantom Sedan 2012,0.5238095238095238,0.5,0.5116279069767442,44.0
Scion xD Hatchback 2012,0.45714285714285713,0.3902439024390244,0.42105263157894735,41.0
Spyker C8 Convertible 2009,0.58,0.6444444444444445,0.6105263157894737,45.0
Spyker C8 Coupe 2009,0.38,0.4523809523809524,0.41304347826086957,42.0
Suzuki Aerio Sedan 2007,0.45714285714285713,0.42105263157894735,0.4383561643835616,38.0
Suzuki Kizashi Sedan 2012,0.2727272727272727,0.391304347826087,0.32142857142857145,46.0
Suzuki SX4 Hatchback 2012,0.3269230769230769,0.40476190476190477,0.3617021276595745,42.0
Suzuki SX4 Sedan 2012,0.1568627450980392,0.2,0.17582417582417584,40.0
Tesla Model S Sedan 2012,0.34,0.4473684210526316,0.38636363636363635,38.0
Toyota Sequoia SUV 2012,0.45652173913043476,0.5526315789473685,0.5,38.0
Toyota Camry Sedan 2012,0.4444444444444444,0.37209302325581395,0.4050632911392405,43.0
Toyota Corolla Sedan 2012,0.19642857142857142,0.2558139534883721,0.2222222222222222,43.0
Toyota 4Runner SUV 2012,0.4888888888888889,0.55,0.5176470588235295,40.0
Volkswagen Golf Hatchback 2012,0.4444444444444444,0.37209302325581395,0.4050632911392405,43.0
Volkswagen Golf Hatchback 1991,0.4810126582278481,0.8260869565217391,0.608,46.0
Volkswagen Beetle Hatchback 2012,0.5434782608695652,0.5952380952380952,0.5681818181818182,42.0
Volvo C30 Hatchback 2012,0.40350877192982454,0.5609756097560976,0.46938775510204084,41.0
Volvo 240 Sedan 1993,0.6792452830188679,0.8,0.7346938775510204,45.0
Volvo XC90 SUV 2007,0.35384615384615387,0.5348837209302325,0.42592592592592593,43.0
smart fortwo Convertible 2012,0.967741935483871,0.75,0.8450704225352113,40.0
accuracy,0.46810098246486753,0.46810098246486753,0.46810098246486753,0.46810098246486753
macro avg,0.4991201957925838,0.46783746331791437,0.46684546566343954,8041.0
weighted avg,0.49834395128056375,0.46810098246486753,0.4665590092910734,8041.0
